"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
case_number,case_information,,text,"Case Number",,,,,,,,,,,,,
given_names,case_information,,text,"Given Name(s)",,,,,,y,,,,,,,
surname,case_information,,text,Surname,,,,,,y,,,,,,,
bdm_id,case_information,,text,"BDM identifier",,,integer,20100000,20400000,,,,,,,,
address,case_information,Residential,text,"Street Address",,,,,,y,,,,,,,
suburb,case_information,,text,Suburb,,,,,,,,,,,,,
residential,case_information,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; border-style: none; height: 28px;"" border=""0""> <tbody> <tr style=""height: 28px;""> <td style=""width: 24.4837%; height: 28px;"">Address</td> <td style=""width: 72.2915%; height: 28px;"">{address}</td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100%; height: 34px; border-style: none;"" border=""0""> <tbody> <tr style=""height: 17px;""> <td style=""width: 20.4066%;"">Suburb</td> <td style=""width: 12.3444%; height: 17px;"">Postcode</td> <td style=""width: 47.256%; height: 17px;"">State</td> </tr> <tr style=""height: 17px;""> <td style=""width: 20.4066%;"">{suburb}</td> <td style=""width: 12.3444%; height: 17px;"">{postcode}</td> <td style=""width: 47.256%; height: 17px;"">{state}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
place_of_birth,case_information,,text,"Place of birth",,,,,,,,y,,,,,
place_of_death,case_information,,text,"Place of death",,,,,,,,,,,,,
seifa_variables,case_information,"Socio-economic information",descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; border-style: none; height: 28px;"" border=""0""> <tbody> <tr style=""height: 28px;""> <td style=""width: 56.4498%; height: 28px;"">SEIFA index</td> <td style=""width: 40.3254%; height: 28px;"">Quintile</td> </tr> <tr> <td style=""width: 56.4498%;"">Index of Relative Socio-Economic Disadvantage</td> <td style=""width: 40.3254%;"">{seifa_disadvantage}</td> </tr> <tr> <td style=""width: 56.4498%;"">Index of Relative Socio-Economic Advantage and Disadvantage</td> <td style=""width: 40.3254%;"">{seifa_adv_disadv}</td> </tr> <tr> <td style=""width: 56.4498%;"">Index of Education and Occupation</td> <td style=""width: 40.3254%;"">{seifa_education_occupation}</td> </tr> <tr> <td style=""width: 56.4498%;"">Index of Economic Resources</td> <td style=""width: 40.3254%;"">{seifa_economic_resources}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,," @READONLY"
