postcode,ra_code,ra_name
0800,72,Outer Regional Australia
0810,72,Outer Regional Australia
0812,72,Outer Regional Australia
0815,72,Outer Regional Australia
0820,72,Outer Regional Australia
0822,74,Very Remote Australia
0828,72,Outer Regional Australia
0829,72,Outer Regional Australia
0830,72,Outer Regional Australia
0832,72,Outer Regional Australia
0834,72,Outer Regional Australia
0835,72,Outer Regional Australia
0836,72,Outer Regional Australia
0837,72,Outer Regional Australia
0838,72,Outer Regional Australia
0839,72,Outer Regional Australia
0840,73,Remote Australia
0841,72,Outer Regional Australia
0845,73,Remote Australia
0846,73,Remote Australia
0847,73,Remote Australia
0850,73,Remote Australia
0852,74,Very Remote Australia
0853,73,Remote Australia
0854,74,Very Remote Australia
0860,74,Very Remote Australia
0862,74,Very Remote Australia
0870,73,Remote Australia
0872,74,Very Remote Australia
0873,73,Remote Australia
0874,73,Remote Australia
0875,73,Remote Australia
0880,74,Very Remote Australia
0885,74,Very Remote Australia
0886,73,Remote Australia
2000,10,Major Cities of Australia
2006,10,Major Cities of Australia
2007,10,Major Cities of Australia
2008,10,Major Cities of Australia
2009,10,Major Cities of Australia
2010,10,Major Cities of Australia
2011,10,Major Cities of Australia
2015,10,Major Cities of Australia
2016,10,Major Cities of Australia
2017,10,Major Cities of Australia
2018,10,Major Cities of Australia
2019,10,Major Cities of Australia
2020,10,Major Cities of Australia
2021,10,Major Cities of Australia
2022,10,Major Cities of Australia
2023,10,Major Cities of Australia
2024,10,Major Cities of Australia
2025,10,Major Cities of Australia
2026,10,Major Cities of Australia
2027,10,Major Cities of Australia
2028,10,Major Cities of Australia
2029,10,Major Cities of Australia
2030,10,Major Cities of Australia
2031,10,Major Cities of Australia
2032,10,Major Cities of Australia
2033,10,Major Cities of Australia
2034,10,Major Cities of Australia
2035,10,Major Cities of Australia
2036,10,Major Cities of Australia
2037,10,Major Cities of Australia
2038,10,Major Cities of Australia
2039,10,Major Cities of Australia
2040,10,Major Cities of Australia
2041,10,Major Cities of Australia
2042,10,Major Cities of Australia
2043,10,Major Cities of Australia
2044,10,Major Cities of Australia
2045,10,Major Cities of Australia
2046,10,Major Cities of Australia
2047,10,Major Cities of Australia
2048,10,Major Cities of Australia
2049,10,Major Cities of Australia
2050,10,Major Cities of Australia
2052,10,Major Cities of Australia
2060,10,Major Cities of Australia
2061,10,Major Cities of Australia
2062,10,Major Cities of Australia
2063,10,Major Cities of Australia
2064,10,Major Cities of Australia
2065,10,Major Cities of Australia
2066,10,Major Cities of Australia
2067,10,Major Cities of Australia
2068,10,Major Cities of Australia
2069,10,Major Cities of Australia
2070,10,Major Cities of Australia
2071,10,Major Cities of Australia
2072,10,Major Cities of Australia
2073,10,Major Cities of Australia
2074,10,Major Cities of Australia
2075,10,Major Cities of Australia
2076,10,Major Cities of Australia
2077,10,Major Cities of Australia
2079,10,Major Cities of Australia
2080,10,Major Cities of Australia
2081,10,Major Cities of Australia
2082,10,Major Cities of Australia
2083,11,Inner Regional Australia
2084,10,Major Cities of Australia
2085,10,Major Cities of Australia
2086,10,Major Cities of Australia
2087,10,Major Cities of Australia
2088,10,Major Cities of Australia
2089,10,Major Cities of Australia
2090,10,Major Cities of Australia
2091,10,Major Cities of Australia
2092,10,Major Cities of Australia
2093,10,Major Cities of Australia
2094,10,Major Cities of Australia
2095,10,Major Cities of Australia
2096,10,Major Cities of Australia
2097,10,Major Cities of Australia
2099,10,Major Cities of Australia
2100,10,Major Cities of Australia
2101,10,Major Cities of Australia
2102,10,Major Cities of Australia
2103,10,Major Cities of Australia
2104,10,Major Cities of Australia
2105,10,Major Cities of Australia
2106,10,Major Cities of Australia
2107,10,Major Cities of Australia
2108,10,Major Cities of Australia
2109,10,Major Cities of Australia
2110,10,Major Cities of Australia
2111,10,Major Cities of Australia
2112,10,Major Cities of Australia
2113,10,Major Cities of Australia
2114,10,Major Cities of Australia
2115,10,Major Cities of Australia
2116,10,Major Cities of Australia
2117,10,Major Cities of Australia
2118,10,Major Cities of Australia
2119,10,Major Cities of Australia
2120,10,Major Cities of Australia
2121,10,Major Cities of Australia
2122,10,Major Cities of Australia
2123,10,Major Cities of Australia
2125,10,Major Cities of Australia
2126,10,Major Cities of Australia
2127,10,Major Cities of Australia
2128,10,Major Cities of Australia
2129,10,Major Cities of Australia
2130,10,Major Cities of Australia
2131,10,Major Cities of Australia
2132,10,Major Cities of Australia
2133,10,Major Cities of Australia
2134,10,Major Cities of Australia
2135,10,Major Cities of Australia
2136,10,Major Cities of Australia
2137,10,Major Cities of Australia
2138,10,Major Cities of Australia
2139,10,Major Cities of Australia
2140,10,Major Cities of Australia
2141,10,Major Cities of Australia
2142,10,Major Cities of Australia
2143,10,Major Cities of Australia
2144,10,Major Cities of Australia
2145,10,Major Cities of Australia
2146,10,Major Cities of Australia
2147,10,Major Cities of Australia
2148,10,Major Cities of Australia
2150,10,Major Cities of Australia
2151,10,Major Cities of Australia
2152,10,Major Cities of Australia
2153,10,Major Cities of Australia
2154,10,Major Cities of Australia
2155,10,Major Cities of Australia
2156,10,Major Cities of Australia
2157,11,Inner Regional Australia
2158,10,Major Cities of Australia
2159,10,Major Cities of Australia
2160,10,Major Cities of Australia
2161,10,Major Cities of Australia
2162,10,Major Cities of Australia
2163,10,Major Cities of Australia
2164,10,Major Cities of Australia
2165,10,Major Cities of Australia
2166,10,Major Cities of Australia
2167,10,Major Cities of Australia
2168,10,Major Cities of Australia
2170,10,Major Cities of Australia
2171,10,Major Cities of Australia
2172,10,Major Cities of Australia
2173,10,Major Cities of Australia
2174,10,Major Cities of Australia
2175,10,Major Cities of Australia
2176,10,Major Cities of Australia
2177,10,Major Cities of Australia
2178,10,Major Cities of Australia
2179,10,Major Cities of Australia
2190,10,Major Cities of Australia
2191,10,Major Cities of Australia
2192,10,Major Cities of Australia
2193,10,Major Cities of Australia
2194,10,Major Cities of Australia
2195,10,Major Cities of Australia
2196,10,Major Cities of Australia
2197,10,Major Cities of Australia
2198,10,Major Cities of Australia
2199,10,Major Cities of Australia
2200,10,Major Cities of Australia
2203,10,Major Cities of Australia
2204,10,Major Cities of Australia
2205,10,Major Cities of Australia
2206,10,Major Cities of Australia
2207,10,Major Cities of Australia
2208,10,Major Cities of Australia
2209,10,Major Cities of Australia
2210,10,Major Cities of Australia
2211,10,Major Cities of Australia
2212,10,Major Cities of Australia
2213,10,Major Cities of Australia
2214,10,Major Cities of Australia
2216,10,Major Cities of Australia
2217,10,Major Cities of Australia
2218,10,Major Cities of Australia
2219,10,Major Cities of Australia
2220,10,Major Cities of Australia
2221,10,Major Cities of Australia
2222,10,Major Cities of Australia
2223,10,Major Cities of Australia
2224,10,Major Cities of Australia
2225,10,Major Cities of Australia
2226,10,Major Cities of Australia
2227,10,Major Cities of Australia
2228,10,Major Cities of Australia
2229,10,Major Cities of Australia
2230,10,Major Cities of Australia
2231,10,Major Cities of Australia
2232,10,Major Cities of Australia
2233,10,Major Cities of Australia
2234,10,Major Cities of Australia
2250,10,Major Cities of Australia
2251,10,Major Cities of Australia
2256,10,Major Cities of Australia
2257,10,Major Cities of Australia
2258,10,Major Cities of Australia
2259,10,Major Cities of Australia
2260,10,Major Cities of Australia
2261,10,Major Cities of Australia
2262,10,Major Cities of Australia
2263,10,Major Cities of Australia
2264,10,Major Cities of Australia
2265,10,Major Cities of Australia
2267,10,Major Cities of Australia
2278,10,Major Cities of Australia
2280,10,Major Cities of Australia
2281,10,Major Cities of Australia
2282,10,Major Cities of Australia
2283,10,Major Cities of Australia
2284,10,Major Cities of Australia
2285,10,Major Cities of Australia
2286,10,Major Cities of Australia
2287,10,Major Cities of Australia
2289,10,Major Cities of Australia
2290,10,Major Cities of Australia
2291,10,Major Cities of Australia
2292,10,Major Cities of Australia
2293,10,Major Cities of Australia
2294,10,Major Cities of Australia
2295,10,Major Cities of Australia
2296,10,Major Cities of Australia
2297,10,Major Cities of Australia
2298,10,Major Cities of Australia
2299,10,Major Cities of Australia
2300,10,Major Cities of Australia
2302,10,Major Cities of Australia
2303,10,Major Cities of Australia
2304,10,Major Cities of Australia
2305,10,Major Cities of Australia
2306,10,Major Cities of Australia
2307,10,Major Cities of Australia
2308,10,Major Cities of Australia
2311,11,Inner Regional Australia
2312,11,Inner Regional Australia
2314,11,Inner Regional Australia
2315,11,Inner Regional Australia
2316,11,Inner Regional Australia
2317,11,Inner Regional Australia
2318,11,Inner Regional Australia
2319,11,Inner Regional Australia
2320,10,Major Cities of Australia
2321,10,Major Cities of Australia
2322,10,Major Cities of Australia
2323,10,Major Cities of Australia
2324,10,Major Cities of Australia
2325,11,Inner Regional Australia
2326,10,Major Cities of Australia
2327,10,Major Cities of Australia
2328,11,Inner Regional Australia
2329,12,Outer Regional Australia
2330,11,Inner Regional Australia
2331,11,Inner Regional Australia
2333,11,Inner Regional Australia
2334,11,Inner Regional Australia
2335,11,Inner Regional Australia
2336,11,Inner Regional Australia
2337,11,Inner Regional Australia
2338,12,Outer Regional Australia
2339,12,Outer Regional Australia
2340,11,Inner Regional Australia
2341,11,Inner Regional Australia
2342,12,Outer Regional Australia
2343,12,Outer Regional Australia
2344,11,Inner Regional Australia
2345,12,Outer Regional Australia
2346,12,Outer Regional Australia
2347,12,Outer Regional Australia
2350,11,Inner Regional Australia
2351,11,Inner Regional Australia
2352,11,Inner Regional Australia
2353,12,Outer Regional Australia
2354,12,Outer Regional Australia
2355,12,Outer Regional Australia
2356,13,Remote Australia
2357,12,Outer Regional Australia
2358,11,Inner Regional Australia
2359,12,Outer Regional Australia
2360,12,Outer Regional Australia
2361,12,Outer Regional Australia
2365,12,Outer Regional Australia
2369,12,Outer Regional Australia
2370,12,Outer Regional Australia
2371,12,Outer Regional Australia
2372,12,Outer Regional Australia
2379,12,Outer Regional Australia
2380,12,Outer Regional Australia
2381,12,Outer Regional Australia
2382,12,Outer Regional Australia
2386,13,Remote Australia
2387,13,Remote Australia
2388,12,Outer Regional Australia
2390,12,Outer Regional Australia
2395,12,Outer Regional Australia
2396,13,Remote Australia
2397,12,Outer Regional Australia
2398,12,Outer Regional Australia
2399,12,Outer Regional Australia
2400,12,Outer Regional Australia
2401,12,Outer Regional Australia
2402,12,Outer Regional Australia
2403,12,Outer Regional Australia
2404,12,Outer Regional Australia
2405,13,Remote Australia
2406,13,Remote Australia
2408,12,Outer Regional Australia
2409,12,Outer Regional Australia
2410,12,Outer Regional Australia
2411,12,Outer Regional Australia
2415,11,Inner Regional Australia
2420,11,Inner Regional Australia
2421,11,Inner Regional Australia
2422,11,Inner Regional Australia
2423,11,Inner Regional Australia
2424,11,Inner Regional Australia
2425,11,Inner Regional Australia
2426,11,Inner Regional Australia
2427,11,Inner Regional Australia
2428,11,Inner Regional Australia
2429,11,Inner Regional Australia
2430,11,Inner Regional Australia
2431,12,Outer Regional Australia
2439,11,Inner Regional Australia
2440,11,Inner Regional Australia
2441,12,Outer Regional Australia
2443,11,Inner Regional Australia
2444,11,Inner Regional Australia
2445,11,Inner Regional Australia
2446,11,Inner Regional Australia
2447,12,Outer Regional Australia
2448,12,Outer Regional Australia
2449,12,Outer Regional Australia
2450,11,Inner Regional Australia
2452,11,Inner Regional Australia
2453,12,Outer Regional Australia
2454,12,Outer Regional Australia
2455,12,Outer Regional Australia
2456,11,Inner Regional Australia
2460,11,Inner Regional Australia
2462,12,Outer Regional Australia
2463,11,Inner Regional Australia
2464,11,Inner Regional Australia
2465,11,Inner Regional Australia
2466,11,Inner Regional Australia
2469,12,Outer Regional Australia
2470,11,Inner Regional Australia
2471,11,Inner Regional Australia
2472,11,Inner Regional Australia
2473,11,Inner Regional Australia
2474,11,Inner Regional Australia
2475,12,Outer Regional Australia
2476,12,Outer Regional Australia
2477,11,Inner Regional Australia
2478,11,Inner Regional Australia
2479,11,Inner Regional Australia
2480,11,Inner Regional Australia
2481,11,Inner Regional Australia
2482,11,Inner Regional Australia
2483,11,Inner Regional Australia
2484,11,Inner Regional Australia
2485,10,Major Cities of Australia
2486,10,Major Cities of Australia
2487,10,Major Cities of Australia
2488,10,Major Cities of Australia
2489,10,Major Cities of Australia
2490,10,Major Cities of Australia
2500,10,Major Cities of Australia
2502,10,Major Cities of Australia
2505,10,Major Cities of Australia
2506,10,Major Cities of Australia
2508,10,Major Cities of Australia
2515,10,Major Cities of Australia
2516,10,Major Cities of Australia
2517,10,Major Cities of Australia
2518,10,Major Cities of Australia
2519,10,Major Cities of Australia
2522,10,Major Cities of Australia
2525,10,Major Cities of Australia
2526,10,Major Cities of Australia
2527,10,Major Cities of Australia
2528,10,Major Cities of Australia
2529,10,Major Cities of Australia
2530,10,Major Cities of Australia
2533,11,Inner Regional Australia
2534,11,Inner Regional Australia
2535,11,Inner Regional Australia
2536,11,Inner Regional Australia
2537,11,Inner Regional Australia
2538,11,Inner Regional Australia
2539,11,Inner Regional Australia
2540,11,Inner Regional Australia
2541,11,Inner Regional Australia
2545,12,Outer Regional Australia
2546,12,Outer Regional Australia
2548,12,Outer Regional Australia
2549,12,Outer Regional Australia
2550,12,Outer Regional Australia
2551,12,Outer Regional Australia
2555,10,Major Cities of Australia
2556,10,Major Cities of Australia
2557,10,Major Cities of Australia
2558,10,Major Cities of Australia
2559,10,Major Cities of Australia
2560,10,Major Cities of Australia
2563,10,Major Cities of Australia
2564,10,Major Cities of Australia
2565,10,Major Cities of Australia
2566,10,Major Cities of Australia
2567,10,Major Cities of Australia
2568,10,Major Cities of Australia
2569,11,Inner Regional Australia
2570,10,Major Cities of Australia
2571,11,Inner Regional Australia
2572,11,Inner Regional Australia
2573,11,Inner Regional Australia
2574,11,Inner Regional Australia
2575,11,Inner Regional Australia
2576,11,Inner Regional Australia
2577,11,Inner Regional Australia
2578,11,Inner Regional Australia
2579,11,Inner Regional Australia
2580,11,Inner Regional Australia
2581,11,Inner Regional Australia
2582,11,Inner Regional Australia
2583,11,Inner Regional Australia
2584,11,Inner Regional Australia
2585,11,Inner Regional Australia
2586,11,Inner Regional Australia
2587,11,Inner Regional Australia
2588,11,Inner Regional Australia
2590,11,Inner Regional Australia
2594,11,Inner Regional Australia
2600,80,Major Cities of Australia
2601,80,Major Cities of Australia
2602,80,Major Cities of Australia
2603,80,Major Cities of Australia
2604,80,Major Cities of Australia
2605,80,Major Cities of Australia
2606,80,Major Cities of Australia
2607,80,Major Cities of Australia
2609,80,Major Cities of Australia
2611,80,Major Cities of Australia
2612,80,Major Cities of Australia
2614,80,Major Cities of Australia
2615,80,Major Cities of Australia
2617,80,Major Cities of Australia
2618,11,Inner Regional Australia
2619,10,Major Cities of Australia
2620,10,Major Cities of Australia
2621,11,Inner Regional Australia
2622,11,Inner Regional Australia
2623,11,Inner Regional Australia
2625,12,Outer Regional Australia
2626,11,Inner Regional Australia
2627,12,Outer Regional Australia
2628,12,Outer Regional Australia
2629,12,Outer Regional Australia
2630,11,Inner Regional Australia
2631,12,Outer Regional Australia
2632,12,Outer Regional Australia
2633,12,Outer Regional Australia
2640,11,Inner Regional Australia
2641,11,Inner Regional Australia
2642,11,Inner Regional Australia
2643,11,Inner Regional Australia
2644,11,Inner Regional Australia
2645,12,Outer Regional Australia
2646,11,Inner Regional Australia
2647,11,Inner Regional Australia
2648,12,Outer Regional Australia
2649,12,Outer Regional Australia
2650,11,Inner Regional Australia
2651,11,Inner Regional Australia
2652,11,Inner Regional Australia
2653,12,Outer Regional Australia
2655,11,Inner Regional Australia
2656,12,Outer Regional Australia
2658,11,Inner Regional Australia
2659,11,Inner Regional Australia
2660,11,Inner Regional Australia
2661,11,Inner Regional Australia
2663,11,Inner Regional Australia
2665,12,Outer Regional Australia
